,N,mean_path,median_path,diameter
0,1,0.0,0,0
1,2,0.5,0,1
2,8,1.5,1,3
3,24,2.2916666666666665,2,4
4,64,3.375,3,6
5,160,4.3125,4,7
6,384,5.442708333333333,6,9
7,896,6.4553571428571432,7,10
8,2048,7.6044921875,8,12
9,4608,8.6597222222222214,9,13
10,10240,9.8167968749999996,10,15
11,22528,10.898792613636363,11,16
12,49152,12.06005859375,12,18
13,106496,13.160682091346153,13,19
14,229376,14.3251953125,14,21
15,491520,15.439884440104167,16,22
16,1048576,16.607580184936523,17,24
17,2228224,17.733534869025736,18,25
